"","year","month","inmates","gender","date_string","date"
"1","2011","02",3942,"female","20110201",2011-02-01
"2","2011","03",3845,"female","20110301",2011-03-01
"3","2011","04",3959,"female","20110401",2011-04-01
"4","2011","05",4042,"female","20110501",2011-05-01
"5","2011","06",4264,"female","20110601",2011-06-01
"6","2011","07",4184,"female","20110701",2011-07-01
"7","2011","08",4266,"female","20110801",2011-08-01
"8","2011","09",4317,"female","20110901",2011-09-01
"9","2011","10",4237,"female","20111001",2011-10-01
"10","2011","11",4182,"female","20111101",2011-11-01
"11","2011","12",4296,"female","20111201",2011-12-01
"12","2012","01",3963,"female","20120101",2012-01-01
"13","2012","02",4178,"female","20120201",2012-02-01
"14","2012","03",3980,"female","20120301",2012-03-01
"15","2012","04",4101,"female","20120401",2012-04-01
"16","2012","05",4199,"female","20120501",2012-05-01
"17","2012","06",4338,"female","20120601",2012-06-01
"18","2012","07",4433,"female","20120701",2012-07-01
"19","2012","08",4656,"female","20120801",2012-08-01
"20","2012","09",4596,"female","20120901",2012-09-01
"21","2012","10",4634,"female","20121001",2012-10-01
"22","2012","11",4556,"female","20121101",2012-11-01
"23","2012","12",4405,"female","20121201",2012-12-01
"24","2013","01",4243,"female","20130101",2013-01-01
"25","2013","02",4468,"female","20130201",2013-02-01
"26","2013","03",4522,"female","20130301",2013-03-01
"27","2013","04",4652,"female","20130401",2013-04-01
"28","2013","05",4649,"female","20130501",2013-05-01
"29","2013","06",4845,"female","20130601",2013-06-01
"30","2013","07",4905,"female","20130701",2013-07-01
"31","2013","08",5029,"female","20130801",2013-08-01
"32","2013","09",5043,"female","20130901",2013-09-01
"33","2013","10",5049,"female","20131001",2013-10-01
"34","2013","11",5149,"female","20131101",2013-11-01
"35","2013","12",5148,"female","20131201",2013-12-01
"36","2014","01",4699,"female","20140101",2014-01-01
"37","2014","02",4915,"female","20140201",2014-02-01
"38","2014","03",4911,"female","20140301",2014-03-01
"39","2014","04",4844,"female","20140401",2014-04-01
"40","2014","05",5208,"female","20140501",2014-05-01
"41","2014","06",5325,"female","20140601",2014-06-01
"42","2014","07",5328,"female","20140701",2014-07-01
"43","2014","08",5426,"female","20140801",2014-08-01
"44","2014","09",5507,"female","20140901",2014-09-01
"45","2014","10",5578,"female","20141001",2014-10-01
"46","2014","11",5459,"female","20141101",2014-11-01
"47","2014","12",5091,"female","20141201",2014-12-01
"48","2015","01",4980,"female","20150101",2015-01-01
"49","2015","02",5196,"female","20150201",2015-02-01
"50","2015","03",5073,"female","20150301",2015-03-01
"51","2015","04",5350,"female","20150401",2015-04-01
"52","2015","05",5394,"female","20150501",2015-05-01
"53","2015","06",5512,"female","20150601",2015-06-01
"54","2015","07",5593,"female","20150701",2015-07-01
"55","2015","08",5723,"female","20150801",2015-08-01
"56","2015","09",5770,"female","20150901",2015-09-01
"57","2015","10",5844,"female","20151001",2015-10-01
"58","2015","11",5588,"female","20151101",2015-11-01
"59","2015","12",5417,"female","20151201",2015-12-01
"60","2016","01",5267,"female","20160101",2016-01-01
"61","2016","02",5500,"female","20160201",2016-02-01
"62","2016","03",5331,"female","20160301",2016-03-01
"63","2016","04",5231,"female","20160401",2016-04-01
"64","2016","05",5558,"female","20160501",2016-05-01
"65","2016","06",5753,"female","20160601",2016-06-01
"66","2016","07",5769,"female","20160701",2016-07-01
"67","2016","08",5918,"female","20160801",2016-08-01
"68","2016","09",5647,"female","20160901",2016-09-01
"69","2016","10",5814,"female","20161001",2016-10-01
"70","2016","11",5722,"female","20161101",2016-11-01
"71","2016","12",5669,"female","20161201",2016-12-01
